12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
435 547 12.34 12.34
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
12345 1000 11.93 12.00
232 100 10.00 8.00
354 568 96.34 85.56
687 243 45.78 56.23
