Code   Shares Prev CPS Curr CPS  Prev Worth  Curr Worth Change(%)
-----------------------------------------------------------------
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
00435     547 $  12.34 $  12.34 $   6749.98 $   6749.98      0.0
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
12345    1000 $  11.93 $  12.00 $  11930.00 $  12000.00      0.6
00232     100 $  10.00 $   8.00 $   1000.00 $    800.00    -20.0
00354     568 $  96.34 $  85.56 $  54721.12 $  48598.08    -11.2
00687     243 $  45.78 $  56.23 $  11124.54 $  13663.89     22.8
-----------------------------------------------------------------
